Freq [GHz],"dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='25mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='26mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='27mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='28mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='29mm' g2='0.5mm' s1='3mm' s2='1.25mm'","dB(S(FloquetPort2:1,FloquetPort1:1)) [] - g1='30mm' g2='0.5mm' s1='3mm' s2='1.25mm'"
4.5,-0.00826142954229,-0.18578882300644,-0.10626616132773,-0.014577589725194,-0.014537888227222,-0.037908946190041
4.6,-0.006173101397129,-0.323495326527593,0.034455214142858,-0.018143789737918,-0.0535949189055,-0.065376080758159
4.7,-0.009160662273652,-0.572266394841524,-0.014899671595203,-0.023269794039187,-0.107725062553046,-0.114582642668369
4.8,-0.021019312446782,-1.0129389943253,-0.064318183734119,-0.032920817968056,-0.18063955804773,-0.205620531757406
4.9,-0.047147115784732,-1.51996337191049,-0.123214238272158,-0.05309231202197,-0.2879370693704,-0.391759314446008
5,-0.095431115807029,-1.2233063205468,-0.219827025001154,-0.095615175627949,-0.487806575908247,-0.846904849403369
5.1,-0.177941817630774,-0.490681143218095,-0.426466437749297,-0.187551672643602,-1.01875888935891,-2.35491458389226
5.2,-0.314379588373696,-0.147263259548759,-1.50066095407124,-0.411865501911836,-3.23794735911746,-11.208176289159
5.3,-0.539605004275628,-0.137226387938435,-0.680917270637193,-1.16731953490828,-41.8416548263072,-6.36135633792351
5.4,-0.921566332667874,-0.521150059974512,-2.58865868548495,-6.70813870834657,-3.85726523483577,-1.90509153189921
5.5,-1.60876134656991,-2.1012863045867,-10.856870300163,-4.86034798926901,-1.39842913927904,-0.857623785995619
5.6,-2.97457215607756,-9.83522449454513,-8.29409126037857,-1.31674675183167,-0.6813762241713,-0.467108597910272
5.7,-6.16655011382808,-9.75361048976247,-2.52796869591808,-0.798665135739574,-0.377634171259403,-0.27750990192348
5.8,-17.6230136849942,-3.66121968637,-1.11398995670376,-0.525283838034385,-0.223012839495585,-0.169556912308469
5.9,-10.4270062585502,-1.59058066843972,-0.597505541910735,-0.323562453009204,-0.135863135657329,-0.102911357716486
6,-4.01595756434965,-0.736784869586997,-0.354408418629163,-0.206939056830974,-0.083000170173417,-0.062116107002419
6.1,-1.81027417843065,-0.371700229953639,-0.221764707258008,-0.123077496569389,-0.048944401913169,-0.042158178110562
6.2,-0.882057362271445,-0.211536268686925,-0.140908810228678,-0.067715250938035,-0.026158302731714,-0.048514232582104
6.3,-0.446587327342081,-0.143667113787681,-0.087288970684313,-0.039803871817812,-0.010922147813069,-0.179777805915787
6.4,-0.22811770571666,-0.12356710935001,-0.049366519901885,-0.035191873557725,-0.001295253203108,0.157088349912425
6.5,-0.115139358531062,-0.142764943883774,-0.021503479519262,-0.047538278572687,0.003902059603435,0.065925846913188
6.6,-0.057068618119011,-0.205020413794462,-0.006576187489757,-0.064906625997386,0.005556822094744,0.039185837134896
6.7,-0.028701499470388,0.096169205944061,-0.137322601935008,-4.83920346434202,0.004448897245206,0.022294106287842
6.8,-0.016521468891117,0.045598500390766,-0.150110231045994,-0.051248065152418,0.001306199172981,0.009348816128415
6.9,-0.012871722851919,0.013174696522888,-0.21698825732366,-0.008060595963868,-0.003190784785277,-0.00075459108476
7,-0.01324667132956,-0.889986306038554,-0.039215210552678,-0.024076765030879,-0.008418739897019,-0.008226670069118
7.1,-0.014930415742974,-0.135939239275015,-0.012245097492929,-0.021249403806678,-0.013821664651159,-0.013151050942062
7.2,-0.016260812774342,-0.027441162005947,-0.00437927980684,-0.009185258469558,-0.018917914922693,-0.015670411813652
7.3,-0.016200642874884,-0.010616546248453,-0.003731214101825,0.003793684814361,-0.023304744664794,-0.016025837609241
7.4,-0.014061182366268,-0.00655639911207,-0.006944383410943,0.008461053582109,-0.026662145810987,-0.014558948967836
7.5,-0.009288102222537,-0.008050084238615,-0.012049936859874,-0.006124457492832,-0.028757870569398,-0.01170942525635
7.6,-0.00122828852069,-0.013786919620137,-0.016855112837272,-0.05235171387253,-0.029455266839024,-0.008016927483229
7.7,0.011269179163004,-0.023856592156366,-0.017931208759939,-0.140927116121777,-0.028725302658834,-0.004128202630755
7.8,0.030873791458069,-0.039868000297214,-0.068834031032814,-0.242915743506986,-0.026664043964827,-0.000807613172751
7.9,0.065513862978215,-0.069381281623711,-0.251056175803012,0.516842045012757,-0.023517011039674,0.001050384132229
8,0.151387871206784,-0.161980369254961,-0.112100513725081,-0.684073444260837,-0.01971252859901,0.000405706570764
8.1,1.18424835772014,-1.38117594045612,-1.71283180626374,-10.6400458052916,-0.015907988737012,-0.003952719837878
8.2,-0.236010503729009,-0.131920406586287,-2.29880591645593,-0.173592839481877,-0.013057199646407,-0.013460013026685
8.3,-0.106179865567625,-12.6804211257048,-0.173287890180822,-0.015425305709965,-0.01251678478863,-0.029895855336371
8.4,-0.062965907753512,-0.78625412052479,-0.029518899857751,-0.382945820351518,-0.016232476246175,-0.055659260509412
8.5,-0.039831216711459,-0.022739316654801,-0.00848893347377,-0.021029034740917,-0.027102254387738,-0.094397826916716
8.6,-0.025140420853576,0.012175089542622,-0.157092368793122,-0.014837977512138,-0.049762984878449,-0.1525061008091
8.7,-0.01532801915029,-0.017112085230126,-0.055535162640107,-0.023176655316864,-0.092500259056018,-0.243022565177106
8.8,-0.008966472746694,-0.041235053456622,-0.005064865519758,-0.048147578371613,-0.172627057236938,-0.397400959796392
8.9,-0.005350875176562,-0.053700722751931,-0.018634552929841,-0.095334373421446,-0.335611232769313,-0.71045091203595
9,-0.004036464207225,-0.057909358185267,-0.04189898923576,-0.116669452429659,-0.763617115057119,-1.59144175480225
9.1,-0.004657924739032,-0.058636667664303,-0.076556479727364,-0.31733353590646,-6.07762542199083,-6.68361104270575
9.2,-0.006854985609028,-0.060677076091085,-0.134285632524345,-0.463232129697589,-2.62210946930811,-4.73470142721219
9.3,-0.010247188188244,-0.069107591467845,-0.388967874739617,0.114306671946551,-12.6175870499167,-0.678644980683051
9.4,-0.014434895928304,-0.090442791622462,-0.314174367492877,-2.52998824652475,-1.40494136360071,-0.168622638623018
9.5,-0.019014539284732,-0.135671440989249,-0.668202144126393,-25.2836700457874,-0.338841317555028,-0.053257366525559
9.6,-0.02359997789923,-0.229858496252435,-1.94998997102485,-1.88778659702572,-0.096050468619712,-0.021509990588766
9.7,-0.027843867682811,-0.452540847845976,-20.1884996163957,-0.358255835189496,-0.023652944816825,-0.012793243685046
9.8,-0.031454724713602,-1.20967677600104,-1.75165682187124,-0.101036696584855,-0.00403178984486,-0.01034582799661
9.9,-0.034207304924882,-8.44165941420458,-0.333976872990763,-0.051343371805116,-0.003855431363561,-0.009163243229973
10,-0.035945754402791,-2.10699045981781,-0.08939569177296,-0.055059393821626,-0.010651652188043,-0.009230818006425
10.1,-0.036580414214669,-0.311767126357294,-0.025270034733473,0.059528791296278,-0.019347582600336,-0.014860150492908
10.2,-0.036079999411065,-0.071849504538467,-0.009224834857167,-0.009094903295818,-0.030627028866925,-0.037349176981574
10.3,-0.034461119577641,-0.016460497782252,-0.010099971952672,-0.019981420866206,-0.060693839446735,-0.102622420937329
10.4,-0.031776916012452,-1.11997327109553,-0.017847531163406,-0.027416050817709,-0.206649751373521,-0.270201158889651
10.5,-0.028106158512107,-3.26786105938311,-0.028481984497709,-0.072815571135001,-1.25556607044216,-0.67946858977357
10.6,-0.008783754473937,-0.758466326503884,-0.035550742223217,-0.161967254607689,-0.818603236276885,-0.44206316369863
10.7,-0.04525828136798,-0.013761124471285,-0.093090699123249,-1.37620195080209,-0.026859044447452,-0.264807076208596
